002  00468 |Loss: 1.325 | Acc: 52.131% 
002  00469 |Loss: 1.323 | Acc: 52.264% 
002  00470 |Loss: 1.322 | Acc: 52.225% 
002  00471 |Loss: 1.321 | Acc: 52.246% 
002  00472 |Loss: 1.322 | Acc: 52.199% 
002  00473 |Loss: 1.321 | Acc: 52.125% 
002  00474 |Loss: 1.321 | Acc: 52.184% 
002  00475 |Loss: 1.321 | Acc: 52.195% 
002  00476 |Loss: 1.318 | Acc: 52.325% 
002  00477 |Loss: 1.320 | Acc: 52.244% 
002  00478 |Loss: 1.320 | Acc: 52.254% 
002  00479 |Loss: 1.321 | Acc: 52.237% 
002  00480 |Loss: 1.320 | Acc: 52.291% 
002  00481 |Loss: 1.320 | Acc: 52.292% 
002  00482 |Loss: 1.321 | Acc: 52.224% 
002  00483 |Loss: 1.322 | Acc: 52.182% 
002  00484 |Loss: 1.323 | Acc: 52.167% 
002  00485 |Loss: 1.323 | Acc: 52.244% 
002  00486 |Loss: 1.321 | Acc: 52.360% 
002  00487 |Loss: 1.321 | Acc: 52.352% 
002  00488 |Loss: 1.319 | Acc: 52.368% 
002  00489 |Loss: 1.319 | Acc: 52.328% 
002  00490 |Loss: 1.319 | Acc: 52.320% 
002  00491 |Loss: 1.318 | Acc: 52.336% 
002  00492 |Loss: 1.317 | Acc: 52.367% 
002  00493 |Loss: 1.318 | Acc: 52.374% 
002  00494 |Loss: 1.317 | Acc: 52.389% 
002  00495 |Loss: 1.318 | Acc: 52.381% 
002  00496 |Loss: 1.317 | Acc: 52.403% 
002  00497 |Loss: 1.317 | Acc: 52.373% 
002  00498 |Loss: 1.316 | Acc: 52.446% 
002  00499 |Loss: 1.316 | Acc: 52.445% 
002  00500 |Loss: 1.317 | Acc: 52.430% 
002  00501 |Loss: 1.316 | Acc: 52.422% 
002  00502 |Loss: 1.315 | Acc: 52.449% 
002  00503 |Loss: 1.314 | Acc: 52.462% 
002  00504 |Loss: 1.315 | Acc: 52.489% 
002  00505 |Loss: 1.314 | Acc: 52.536% 
002  00506 |Loss: 1.313 | Acc: 52.554% 
002  00507 |Loss: 1.312 | Acc: 52.573% 
002  00508 |Loss: 1.311 | Acc: 52.591% 
002  00509 |Loss: 1.312 | Acc: 52.602% 
002  00510 |Loss: 1.311 | Acc: 52.652% 
002  00511 |Loss: 1.311 | Acc: 52.663% 
002  00512 |Loss: 1.310 | Acc: 52.718% 
002  00513 |Loss: 1.312 | Acc: 52.715% 
002  00514 |Loss: 1.310 | Acc: 52.750% 
002  00515 |Loss: 1.311 | Acc: 52.709% 
002  00516 |Loss: 1.312 | Acc: 52.669% 
002  00517 |Loss: 1.311 | Acc: 52.685% 
002  00518 |Loss: 1.310 | Acc: 52.713% 
